request,category,priority,urgency
My laptop is not connecting to wifi,IT,Medium,Not Immediate
I forgot my password and cannot login,IT,Medium,Not Immediate
The server is down and users cannot access the system,IT,High,Immediate
My email is not working,IT,Medium,Not Immediate
The printer is not printing,IT,Medium,Not Immediate
My computer keeps crashing,IT,High,Not Immediate
There is a virus warning on my laptop,IT,High,Immediate
The network connection is very slow,IT,Medium,Not Immediate
I need software installed on my computer,IT,Low,Not Immediate
The database is not opening,IT,Medium,Not Immediate
The connection is slow,IT,Medium,Not Immediate
The internet is slow,IT,Medium,Not Immediate
The wifi keeps disconnecting,IT,Medium,Not Immediate
My laptop is running slowly,IT,Medium,Not Immediate
The system is taking long to load,IT,Medium,Not Immediate
The application keeps freezing,IT,Medium,Not Immediate
I cannot access my email,IT,Medium,Not Immediate
The website is not loading,IT,Medium,Not Immediate
My password reset is not working,IT,Medium,Not Immediate
The network is unstable,IT,Medium,Not Immediate
My account is locked,IT,Medium,Not Immediate
The network is down,IT,High,Immediate
The system crashed during work,IT,High,Immediate
The screen is frozen,IT,Medium,Not Immediate
The VPN is not connecting,IT,Medium,Not Immediate
The portal gives an error message,IT,Medium,Not Immediate
There is a security breach alert,IT,High,Immediate
The firewall is blocking access,IT,High,Not Immediate
The backup failed overnight,IT,High,Not Immediate
My connection is bad,IT,Medium,Not Immediate
The connection is poor,IT,Medium,Not Immediate
The network signal is weak,IT,Medium,Not Immediate
The connection keeps dropping,IT,Medium,Not Immediate
I need help with my leave application,HR,Medium,Not Immediate
My payslip is incorrect,HR,Medium,Not Immediate
I want to apply for sick leave,HR,Medium,Not Immediate
I need information about employee benefits,HR,Low,Not Immediate
I want to report workplace harassment,HR,High,Not Immediate
There is a conflict with my supervisor,HR,Medium,Not Immediate
I need my contract updated,HR,Medium,Not Immediate
I have a payroll query,HR,Medium,Not Immediate
I need help with onboarding,HR,Low,Not Immediate
I want to resign from my position,HR,Medium,Not Immediate
My salary was not paid on time,HR,High,Immediate
My overtime hours are missing from payroll,HR,Medium,Not Immediate
I need clarification about my employment contract,HR,Medium,Not Immediate
I need help with my probation review,HR,Medium,Not Immediate
My manager has not completed my performance review,HR,Medium,Not Immediate
I want to report workplace bullying,HR,High,Not Immediate
I feel discriminated against by my supervisor,HR,High,Not Immediate
I need to file a grievance,HR,High,Not Immediate
I need HR support with a disciplinary meeting,HR,High,Not Immediate
I need onboarding documents for a new employee,HR,Low,Not Immediate
My leave days were deducted incorrectly,HR,Medium,Not Immediate
I have a payroll deduction query,HR,Medium,Not Immediate
There is a fraudulent payment on my account,Finance,High,Immediate
The invoice has not been paid,Finance,Medium,Not Immediate
I need reimbursement for travel expenses,Finance,Medium,Not Immediate
There is an incorrect charge on the account,Finance,Medium,Not Immediate
The budget report is wrong,Finance,Medium,Not Immediate
I need a payment processed,Finance,Medium,Not Immediate
There is a duplicate transaction,Finance,High,Not Immediate
I need a tax statement,Finance,Low,Not Immediate
The supplier invoice is overdue,Finance,High,Not Immediate
There is an audit issue,Finance,High,Not Immediate
A fraudulent payment was made from my account,Finance,High,Immediate
There is fraud on my bank account,Finance,High,Immediate
Someone made an unauthorized payment,Finance,High,Immediate
There is an unauthorised transaction on my account,Finance,High,Immediate
A suspicious transaction appeared on the finance account,Finance,High,Immediate
My account shows a payment I did not make,Finance,High,Immediate
There is a missing payment from the account,Finance,High,Immediate
A supplier payment was processed incorrectly,Finance,Medium,Not Immediate
A duplicate payment was made to the supplier,Finance,High,Not Immediate
The account balance is incorrect after a payment,Finance,Medium,Not Immediate
The company card was charged incorrectly,Finance,High,Not Immediate
A payment failed but money left the account,Finance,High,Immediate
I need petty cash reconciled,Finance,Low,Not Immediate
The ledger entries are incorrect,Finance,Medium,Not Immediate
The delivery is delayed,Operations,Medium,Not Immediate
We are running low on stock,Operations,Medium,Not Immediate
The warehouse has an inventory problem,Operations,Medium,Not Immediate
The shipment has not arrived,Operations,Medium,Not Immediate
There is an equipment failure,Operations,High,Immediate
The production line has stopped,Operations,High,Immediate
There was an accident on site,Operations,High,Immediate
The courier route needs to be updated,Operations,Low,Not Immediate
There is a quality inspection issue,Operations,Medium,Not Immediate
The maintenance schedule needs updating,Operations,Low,Not Immediate
The courier did not deliver the order,Operations,Medium,Not Immediate
The warehouse stock count is wrong,Operations,Medium,Not Immediate
There is no stock available for an urgent order,Operations,High,Immediate
The inventory system does not match physical stock,Operations,Medium,Not Immediate
A vehicle broke down during delivery,Operations,High,Immediate
An employee was injured in the warehouse,Operations,High,Immediate
There is a safety incident in the building,Operations,High,Immediate
The facility needs urgent repair,Operations,High,Immediate
The dispatch team sent the wrong order,Operations,Medium,Not Immediate
The order was packed incorrectly,Operations,Medium,Not Immediate
The materials for production are delayed,Operations,Medium,Not Immediate
We have a shortage of supplies,Operations,High,Not Immediate
The logistics route needs to be changed,Operations,Medium,Not Immediate
The workflow is blocked because materials are missing,Operations,High,Immediate
The project deadline is affected by stock delays,Operations,Medium,Not Immediate
The warehouse needs capacity planning,Operations,Low,Not Immediate
Salary processing was delayed because the payroll payment file failed validation,Finance,High,Immediate
A suspicious login happened before payroll payments were processed,Finance,High,Immediate
The payroll account shows an unauthorised salary transaction,Finance,High,Immediate
Finance needs to verify a suspicious payroll payment before salaries are released,Finance,High,Immediate
A salary payment batch contains duplicate employee payments,Finance,High,Immediate
The bank account shows a payroll debit that finance did not approve,Finance,High,Immediate
An employee salary was paid twice and needs urgent finance investigation,Finance,High,Immediate
The monthly payroll payment file has incorrect banking details,Finance,High,Immediate
A vendor invoice was approved without finance authorisation,Finance,High,Immediate
There is possible fraud on the supplier payment account,Finance,High,Immediate
A supplier payment was duplicated during the finance run,Finance,High,Not Immediate
The finance ledger does not match the bank statement,Finance,Medium,Not Immediate
The invoice amount does not match the approved purchase order,Finance,Medium,Not Immediate
A reimbursement claim was submitted with missing receipts,Finance,Medium,Not Immediate
The department budget balance appears incorrect after recent payments,Finance,Medium,Not Immediate
A payment was made to the wrong supplier account,Finance,High,Immediate
The VAT amount on the invoice is incorrect,Finance,Medium,Not Immediate
A purchase order needs finance review before processing,Finance,Medium,Not Immediate
The company credit card has an unknown charge,Finance,High,Not Immediate
The payroll deduction amount is incorrect on the finance report,Finance,Medium,Not Immediate
The supplier statement does not match our payment records,Finance,Medium,Not Immediate
A refund has not reflected on the finance account,Finance,Medium,Not Immediate
Finance must investigate missing funds from the department account,Finance,High,Immediate
There is a suspicious transaction on the payroll bank account,Finance,High,Immediate
An audit query was raised about unauthorised expenditure,Finance,High,Not Immediate
The payroll system is not calculating overtime payments correctly,Finance,Medium,Not Immediate
Several employees have incorrect salary amounts on the payment report,Finance,High,Immediate
The finance account balance changed after an unknown debit,Finance,High,Immediate
A fraudulent supplier invoice was submitted for payment,Finance,High,Immediate
The payment approval record is missing from the finance system,Finance,High,Not Immediate
My laptop cannot connect to the VPN while I am working remotely,IT,Medium,Not Immediate
Several employees cannot access the payroll system login page,IT,High,Immediate
The payroll system is showing a login error for all users,IT,High,Immediate
The internal finance portal is not loading on my laptop,IT,Medium,Not Immediate
The company system is unavailable after a server outage,IT,High,Immediate
Employees cannot log into Microsoft Teams,IT,Medium,Not Immediate
The authentication code is not working for my account,IT,Medium,Not Immediate
The VPN disconnects every few minutes,IT,Medium,Not Immediate
The payroll application keeps crashing when users open it,IT,High,Immediate
The database connection failed during salary processing,IT,High,Immediate
The finance system is down and users cannot access invoices,IT,High,Immediate
There was a suspicious login attempt on the payroll system,IT,High,Immediate
The firewall is blocking access to the finance portal,IT,High,Not Immediate
My account is locked after too many login attempts,IT,Medium,Not Immediate
The internal website gives a server error,IT,Medium,Not Immediate
