TicketID,request,category,priority,priority_code,response,date,urgency,response_time_hours,started_at,closed_at,Status,review_status,review_notes,routed_to,routed_at,risk_flags,transparency_note,approval_required,approval_status,ml_confidence,classification_method
T001,Our server is down and no one can access the network,IT,High,3.1,This is a critical issue. The IT team is actively working to resolve it immediately.,2026-03-20,Immediate,43.1,,,Closed,,,,,,"This ticket was classified and responded to using AI-assisted rules. Human review may be required for sensitive, finance, or unclassified cases.",No,Not Required,,Existing record
T002,I have not received my last month’s payslip and salary is missing.,HR,Low,1.2,Your request has been received and will be handled by HR shortly.,2026-03-20,Not Immediate,32.5,,,Closed,,,,,,"This ticket was classified and responded to using AI-assisted rules. Human review may be required for sensitive, finance, or unclassified cases.",No,Not Required,,Existing record
T003,The invoice for last month hasn’t been paid.,Finance,Low,1.2,Your request has been logged. The Finance team will process it when available.,2026-03-20,Not Immediate,62.7,,,Closed,,,,,,"This ticket was classified and responded to using AI-assisted rules. Human review may be required for sensitive, finance, or unclassified cases.",No,Not Required,,Existing record
T004,The shipment is delayed and stock in the warehouse is low,Operations,Medium,2.2,Your request has been scheduled and will be handled by Operations soon.,2026-03-20,Not Immediate,69.3,,,Closed,,,,,,"This ticket was classified and responded to using AI-assisted rules. Human review may be required for sensitive, finance, or unclassified cases.",No,Not Required,,Existing record
T005,Can someone look at this random question about the office,Unclassified,Low,1.2,Your request has been received.,2026-03-20,Not Immediate,66.8,,,Closed,Irrelevant,Marked as irrelevant during review,,,,"This ticket was classified and responded to using AI-assisted rules. Human review may be required for sensitive, finance, or unclassified cases.",No,Not Required,,Existing record
T006,My laptop crashed and payroll for HR hasn’t been processed.,IT,Low,1.2,Your request has been received and will be addressed by the IT team as soon as possible as it is affecting your work today.,2026-03-20,Not Immediate,22.8,,,Closed,,,,,,"This ticket was classified and responded to using AI-assisted rules. Human review may be required for sensitive, finance, or unclassified cases.",No,Not Required,,Existing record
T007,System has been hacked.,IT,High,3.1,This is a critical issue. The IT team is actively working to resolve it immediately.,2026-03-20,Immediate,2.4,,,Closed,,,,,,"This ticket was classified and responded to using AI-assisted rules. Human review may be required for sensitive, finance, or unclassified cases.",No,Not Required,,Existing record
T008,I have to attend a wedding.,Unclassified,Low,1.2,Your request has been received.,2026-03-20,Not Immediate,17.6,,,Closed,,,,,,"This ticket was classified and responded to using AI-assisted rules. Human review may be required for sensitive, finance, or unclassified cases.",No,Not Required,,Existing record
T009,My laptop is broken.,IT,Low,1.2,Your request has been received and will be addressed by the IT team as soon as possible as it is affecting your work today.,2026-03-22,Not Immediate,36.6,,,Closed,,,,,,"This ticket was classified and responded to using AI-assisted rules. Human review may be required for sensitive, finance, or unclassified cases.",No,Not Required,,Existing record
T010,laptop not working,IT,Medium,2.2,Your request has been logged and scheduled. The IT team will resolve it as soon as possible.,2026-03-22,Not Immediate,67.9,,,Closed,,,,,,"This ticket was classified and responded to using AI-assisted rules. Human review may be required for sensitive, finance, or unclassified cases.",No,Not Required,,Existing record
